Plot,May.NH4 (mg/L),May.NO3 (mg/L,May.Field Weight (g),May.Soil dry weight,May.5 g field soil dry equivalent,May.NH4/g,May.NO3/g,August.NH4 (mg/L),August.NO3 (mg/L,August.Field Weight (g),August.Soil dry weight,August.5 g field soil dry equivalent,August.NH4/g,August.NO3/g
89,1.24,0.29,1,0.591,2.955,2.090490694,0.488443316,1.22,0,1.001,0.88,4.395604396,1.391473417,0
90,0.46,0.32,1,0.823,4.115,0.553620899,0.391907655,1.4,0,1,0.89,4.45,1.567666667,0
91,0.57,0.21,1.001,0.777,3.881118881,0.732056937,0.273838559,1.85,0.18,1,0.907,4.535,2.037919882,0.199801544
92,0.59,0.19,1.001,0.763,3.811188811,0.775742202,0.252729541,15.02,8.38,0.999,0.867,4.339339339,17.3056336,9.658797509
93,0.43,0.04,1,0.827,4.135,0.513917775,0.046469166,1.55,0.68,1,0.891,4.455,1.743617658,0.759977553
94,1.09,0.59,1.001,0.791,3.951048951,1.37610292,0.741954867,1.47,0.29,0.999,0.916,4.584584585,1.601032009,0.3202144
95,1.52,0.11,1,0.754,3.77,2.015371353,0.142758621,2.13,0.26,0.999,0.882,4.414414414,2.417085408,0.293844184
96,0.46,0.15,1,0.745,3.725,0.613986577,0.202563758,1.91,0.38,0.999,0.907,4.53953954,2.107827585,0.414689636
97,0.19,0.05,1,0.818,4.09,0.233435208,0.058056235,1.26,0,1,0.933,4.665,1.350839586,0
98,0.09,0,1,0.856,4.28,0.109485981,-0.002792056,1.52,0.03,1.001,0.927,4.63036963,1.645628163,0.028269881
99,0.41,0.09,1,0.808,4.04,0.507388614,0.105829208,1.44,0,1.001,0.898,4.485514486,1.603476411,0
100,0.37,0.1,1,0.808,4.04,0.455866337,0.120024753,1.36,0,1.001,0.904,4.515484515,1.510871456,0
