Date Collected,Plot,Waypoint,Block,Treatment,Above Canopy PAR,Below Canopy PAR,,,,,
11-Jul-21,118,974,10,Shade/Fert/No thin,690,331,,,,,
11-Jul-21,119,974,10,Shade/No fert/No thin,711,214,,,,,
11-Jul-21,120,974,10,Sun/Fert/No thin,998,315,,,,,
11-Jul-21,121,975,11,Shade/No fert/Thin,660,400,,,,,
11-Jul-21,122,975,11,Shade/No fert/No thin,647,222,,,,,
11-Jul-21,123,975,11,Amb/Fert/Thin,909,466,,,,,
11-Jul-21,124,975,11,Shade/Fert/Thin,624,284,,,,,
11-Jul-21,125,975,11,Sun/No fert/No thin,952,472,,,,,
11-Jul-21,126,975,11,Shade/Fert/No thin,649,253,,,,,
11-Jul-21,127,975,11,Amb/Fert/No thin,962,430,,,,,
11-Jul-21,128,975,11,Sun/Fert/Thin,984,636,,,,,
11-Jul-21,129,975,11,Amb/No fert/No thin,990,490,,,,,
11-Jul-21,130,975,11,Sun/No fert/Thin,994,680,,,,,
11-Jul-21,131,975,11,Sun/Fert/No thin,1015,509,,,,,
11-Jul-21,132,975,11,Amb/No fert/Thin,1053,607,,,,,
11-Jul-21,133,976,12,Sun/Fert/Thin,984,515,,,,,
11-Jul-21,134,976,12,Sun/No fert/No thin,954,300,,,,,
11-Jul-21,135,976,12,Amb/Fert/Thin,939,535,,,,,
11-Jul-21,136,976,12,Sun/Fert/No thin,1005,464,,,,,
11-Jul-21,137,976,12,Amb/Fert/No thin,996,386,,,,,
11-Jul-21,138,976,12,Amb/No fert/Thin,987,499,,,,,
11-Jul-21,139,976,12,Shade/No fert/No thin,669,304,,,,,
11-Jul-21,140,976,12,Shade/Fert/No thin,649,142,,,,,
11-Jul-21,141,976,12,Shade/No fert/Thin,637,296,,,,,
11-Jul-21,142,976,12,Amb/No fert/No thin,957,610,,,,,
11-Jul-21,143,976,12,Shade/Fert/Thin,670,192,,,,,
11-Jul-21,144,976,12,Sun/No fert/Thin,1086,515,,,,,
11-Jul-21,145,977,13,Sun/No fert/Thin,1167,782,,,,,
11-Jul-21,146,977,13,Amb/No fert/Thin,1165,671,,,,,
11-Jul-21,147,977,13,Sun/No fert/No thin,1137,711,,,,,
11-Jul-21,148,977,13,Amb/Fert/Thin,1178,629,,,,,
11-Jul-21,149,977,13,Amb/Fert/No thin,1073,451,,,,,
11-Jul-21,150,977,13,Shade/Fert/Thin,505,393,,,,,
11-Jul-21,151,977,13,Sun/Fert/Thin,1210,725,,,,,
11-Jul-21,152,977,13,Shade/Fert/No thin,482,161,,,,,
11-Jul-21,153,977,13,Shade/No fert/No thin,458,227,,,,,
11-Jul-21,154,977,13,Sun/Fert/No thin,1094,436,,,,,
11-Jul-21,155,977,13,Shade/No fert/Thin,461,239,,,,,
11-Jul-21,156,977,13,Amb/No fert/No thin,1176,458,,,,,
13-Jul-21,157,978,14,Shade/Fert/No thin,1213,539,,,,,
13-Jul-21,158,978,14,Shade/No fert/No thin,810,267,,,,,
13-Jul-21,159,978,14,Shade/No fert/Thin,723,294,,,,,
13-Jul-21,160,978,14,Shade/Fert/Thin,932,454,,,,,
13-Jul-21,161,978,14,Sun/No fert/Thin,1348,597,,,,,
13-Jul-21,162,978,14,Amb/Fert/No thin,1337,108,,,,,
13-Jul-21,163,978,14,Sun/No fert/No thin,1278,411,,,,,
13-Jul-21,164,978,14,Sun/Fert/Thin,1257,514,,,,,
13-Jul-21,165,978,14,Amb/No fert/No thin,1382,274,,,,,
13-Jul-21,166,978,14,Amb/No fert/Thin,1474,860,,,,,
13-Jul-21,167,978,14,Amb/Fert/Thin,1459,893,,,,,
13-Jul-21,168,978,14,Sun/Fert/No thin,1414,683,,,,,
13-Jul-21,169,979,15,Amb/Fert/Thin,1318,600,,,,,
13-Jul-21,170,979,15,Amb/Fert/No thin,1315,488,,,,,
13-Jul-21,171,979,15,Sun/Fert/No thin,1382,860,,,,,
13-Jul-21,172,979,15,Amb/No fert/Thin,1631,917,,,,,
13-Jul-21,173,979,15,Shade/Fert/Thin,925,377,,,,,
13-Jul-21,174,979,15,Amb/No fert/No thin,1392,743,,,,,
13-Jul-21,175,979,15,Shade/No fert/Thin,1060,634,,,,,
13-Jul-21,176,979,15,Sun/Fert/Thin,1258,948,,,,,
13-Jul-21,177,979,15,Shade/Fert/No thin,1246,635,,,,,
13-Jul-21,178,979,15,Shade/No fert/No thin,1033,275,,,,,
13-Jul-21,179,979,15,Sun/No fert/No thin,1104,463,,,,,
13-Jul-21,180,979,15,Sun/No fert/Thin,1138,677,,,,,
13-Jul-21,181,980,16,Shade/Fert/No thin,1251,622,,,,,
13-Jul-21,182,980,16,Sun/Fert/No thin,1080,348,,,,,
13-Jul-21,183,980,16,Shade/No fert/Thin,796,368,,,,,
13-Jul-21,184,980,16,Sun/No fert/No thin,1154,409,,,,,
13-Jul-21,185,980,16,Sun/No fert/Thin,1267,858,,,,,
13-Jul-21,186,980,16,Shade/Fert/Thin,850,421,,,,,
13-Jul-21,187,980,16,Sun/Fert/Thin,1208,735,,,,,
13-Jul-21,188,980,16,Amb/Fert/No thin,1161,494,,,,,
13-Jul-21,189,980,16,Amb/No fert/Thin,1156,859,,,,,
13-Jul-21,190,980,16,Shade/No fert/No thin,785,339,,,,,
13-Jul-21,191,980,16,Amb/Fert/Thin,1155,600,,,,,
13-Jul-21,192,980,16,Amb/No fert/No thin,1173,459,,,,,
13-Jul-21,193,981,17,Shade/Fert/Thin,709,315,,,,,
13-Jul-21,194,981,17,Shade/No fert/Thin,709,222,,,,,
13-Jul-21,195,981,17,Sun/Fert/No thin,1110,438,,,,,
13-Jul-21,196,981,17,Shade/No fert/No thin,720,303,,,,,
13-Jul-21,197,981,17,Amb/Fert/Thin,1046,366,,,,,
13-Jul-21,198,981,17,Amb/No fert/Thin,1049,460,,,,,
13-Jul-21,199,981,17,Shade/Fert/No thin,670,197,,,,,
13-Jul-21,200,981,17,Sun/No fert/No thin,1063,521,,,,,
13-Jul-21,201,981,17,Sun/No fert/Thin,1098,655,,,,,
13-Jul-21,202,981,17,Amb/No fert/No thin,1161,590,,,,,
13-Jul-21,203,981,17,Sun/Fert/Thin,1143,561,,,,,
13-Jul-21,204,981,17,Amb/Fert/No thin,1209,515,,,,,
