"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Brosit",17.85,0.6,12.475,6.98741666666667,0.325,17.7766666666667,101.758333333333,35.1529166666667,205.54313975,25.19,205.162825,0.27725,0.1445,14613.7267325,331.69637195,1.7,43.575,0.5275,41.47
"Brotec",28.0777777777778,0.833333333333333,33.5222222222222,15.1850476190476,0.322222222222222,44.61875,369.1175,94.7429166666667,181.38405227619,54.8983333333333,232.644175,0.25405,0.117,6459.93528375,471.744503875,1.478,43.328,0.74375,40.3
"Camrot",6.53333333333333,4.01666666666667,35.9166666666667,0.766666666666667,0.216666666666667,32.4758333333333,160.03125,4.38458333333333,185.994923391667,111.853,50.9942,0.57032,0.1612,964.3369802,668.1652394,1.97,44.9533333333333,1.04,45.968
"Carhou",20.6,3.95,34.55,7.00833333333333,NA,NA,NA,54.94625,124.306444066667,22.1675,90.9609,0.3151,0.071,3342.30755,383.309859,NA,NA,NA,NA
"Carspp",6.85555555555556,3.88888888888889,9.41111111111111,0.866,NA,21.055,NA,5.83933333333333,160.512379946667,44.58,170.21104,0.23682,0.0688,4731.25706,637.9980992,1.46,43.52,0.54,49.34
"Cerarv",10.44,3.98,18.14,0.125,0.0916666666666667,24.9983333333333,285.191666666667,0.77125,167.732258466667,34.038,143.00728,0.27268,0.0548,4440.1815636,621.5167582,2.23333333333333,44.36,1.21333333333333,44.7533333333333
"Chaere",6.23333333333333,4.53333333333333,17.0666666666667,1.31111111111111,0.335,66.9741666666667,581.904285666667,9.03222222222222,146.550566333333,59.7325,56.82792,0.41778,0.0732,1576.5376695,632.3503045,NA,NA,NA,NA
"Chealb",10.35,8.35,34.95,0.788888888888889,0.45,116.466666666667,277.306349166667,5.29611111111111,153.410350111111,71.2575,292.120716666667,0.226516666666667,0.102166666666667,5297.31774833333,724.5158675,3.09666666666667,35.8966666666667,0.88,45.5766666666667
"Cirarv",22.1363636363636,14.6181818181818,31.5727272727273,13.0851666666667,2.48181818181818,360.3435,1245.85588626,150.020666666667,89.5203689833333,21.5158333333333,169.527,0.215957142857143,0.0557142857142857,11990.584345,285.1783405,1.865,39.84,0.815,44.915
"Cirund",38.6666666666667,31.8333333333333,65.3333333333333,56.7555555555556,8,65,10.8333333,NA,NA,NA,40.85425,0.49605,0.081,NA,NA,1.405,40.51,1.34666666666667,45.1
