Date Collected,Plot,Waypoint,Block,Treatment,Field Weight (g),Dry Weight (g),2 g dry equivalent,Gravimetric soil moisture
25-May-21,103,,9,Shade/No fert/No thin,1.001,0.824,2.43,0.2148058252
25-May-21,104,,9,Sun/No fert/Thin,1,0.821,2.44,0.2180267966
25-May-21,105,,9,Sun/No fert/No thin,1.001,0.813,2.46,0.2312423124
25-May-21,106,,9,Shade/Fert/No thin,1,0.784,2.55,0.2755102041
25-May-21,107,,9,Amb/No fert/Thin,1,0.793,2.52,0.2610340479
25-May-21,108,,9,Sun/Fert/No thin,1,0.74,2.70,0.3513513514
25-May-21,109,,10,Shade/Fert/Thin,0.999,0.759,2.63,0.3162055336
25-May-21,110,,10,Shade/No fert/Thin,1.001,0.773,2.59,0.2949547219
25-May-21,111,,10,Amb/No fert/No thin,0.997,0.74,2.69,0.3472972973
25-May-21,112,,10,Amb/Fert/Thin,1,0.744,2.69,0.3440860215
25-May-21,113,,10,Sun/Fert/Thin,0.999,0.818,2.44,0.2212713936
25-May-21,114,,10,Amb/Fert/No thin,1,0.796,2.51,0.256281407
25-May-21,115,,10,Sun/No fert/Thin,1,0.826,2.42,0.210653753
25-May-21,116,,10,Sun/No fert/No thin,1,0.812,2.46,0.2315270936
25-May-21,117,,10,Amb/No fert/Thin,1,0.764,2.62,0.3089005236
25-May-21,118,,10,Shade/Fert/No thin,1,0.793,2.52,0.2610340479
25-May-21,119,,10,Shade/No fert/No thin,0.999,0.788,2.54,0.2677664975
25-May-21,120,,10,Sun/Fert/No thin,1,0.757,2.64,0.321003963
25-May-21,121,,11,Shade/No fert/Thin,0.999,0.785,2.55,0.272611465
25-May-21,122,,11,Shade/No fert/No thin,1.001,0.803,2.49,0.2465753425
25-May-21,123,,11,Amb/Fert/Thin,1,0.828,2.42,0.2077294686
25-May-21,124,,11,Shade/Fert/Thin,1,0.784,2.55,0.2755102041
25-May-21,125,,11,Sun/No fert/No thin,0.999,0.782,2.55,0.2774936061
25-May-21,126,,11,Shade/Fert/No thin,1,0.795,2.52,0.2578616352
25-May-21,127,,11,Amb/Fert/No thin,1,0.77,2.60,0.2987012987
25-May-21,128,,11,Sun/Fert/Thin,1,0.713,2.81,0.4025245442
25-May-21,129,,11,Amb/No fert/No thin,1,0.815,2.45,0.226993865
25-May-21,130,,11,Sun/No fert/Thin,1,0.768,2.60,0.3020833333
25-May-21,131,,11,Sun/Fert/No thin,0.999,0.753,2.65,0.3266932271
25-May-21,132,,11,Amb/No fert/Thin,1,0.762,2.62,0.312335958
25-May-21,133,,12,Sun/Fert/Thin,1.001,0.758,2.64,0.3205804749
25-May-21,134,,12,Sun/No fert/No thin,1,0.792,2.53,0.2626262626
26-May-21,135,,12,Amb/Fert/Thin,1,0.818,2.44,0.2224938875
26-May-21,136,,12,Sun/Fert/No thin,1.001,0.75,2.67,0.3346666667
26-May-21,137,,12,Amb/Fert/No thin,1.001,0.727,2.75,0.3768913343
26-May-21,138,,12,Amb/No fert/Thin,1,0.749,2.67,0.3351134846
26-May-21,139,,12,Shade/No fert/No thin,1,0.817,2.45,0.2239902081
26-May-21,140,,12,Shade/Fert/No thin,1,0.752,2.66,0.329787234
26-May-21,141,,12,Shade/No fert/Thin,1,0.777,2.57,0.287001287
26-May-21,142,,12,Amb/No fert/No thin,1,0.763,2.62,0.3106159895
26-May-21,143,,12,Shade/Fert/Thin,0.999,0.703,2.84,0.4210526316
26-May-21,144,,12,Sun/No fert/Thin,1,0.793,2.52,0.2610340479
26-May-21,145,,13,Sun/No fert/Thin,1,0.757,2.64,0.321003963
26-May-21,146,,13,Amb/No fert/Thin,1.001,0.798,2.51,0.2543859649
26-May-21,147,,13,Sun/No fert/No thin,1,0.781,2.56,0.2804097311
26-May-21,148,,13,Amb/Fert/Thin,0.999,0.802,2.49,0.2456359102
26-May-21,149,,13,Amb/Fert/No thin,1,0.819,2.44,0.221001221
26-May-21,150,,13,Shade/Fert/Thin,1,0.787,2.54,0.2706480305
26-May-21,151,,13,Sun/Fert/Thin,1,0.813,2.46,0.2300123001
26-May-21,152,,13,Shade/Fert/No thin,0.999,0.739,2.70,0.351826793
26-May-21,153,,13,Shade/No fert/No thin,1.005,0.803,2.50,0.2515566625
26-May-21,154,,13,Sun/Fert/No thin,1.001,0.81,2.47,0.2358024691
26-May-21,155,,13,Shade/No fert/Thin,1,0.834,2.40,0.1990407674
26-May-21,156,,13,Amb/No fert/No thin,0.999,0.806,2.48,0.2394540943
26-May-21,157,,14,Shade/Fert/No thin,1.001,0.786,2.55,0.2735368957
26-May-21,158,,14,Shade/No fert/No thin,0.999,0.802,2.49,0.2456359102
26-May-21,159,,14,Shade/No fert/Thin,0.999,0.872,2.29,0.1456422018
26-May-21,160,,14,Shade/Fert/Thin,1,0.749,2.67,0.3351134846
26-May-21,161,,14,Sun/No fert/Thin,1.001,0.776,2.58,0.2899484536
26-May-21,162,,14,Amb/Fert/No thin,0.999,0.799,2.50,0.2503128911
26-May-21,163,,14,Sun/No fert/No thin,1,0.841,2.38,0.1890606421
26-May-21,164,,14,Sun/Fert/Thin,0.999,0.827,2.42,0.207980653
26-May-21,165,,14,Amb/No fert/No thin,1,0.811,2.47,0.2330456227
26-May-21,166,,14,Amb/No fert/Thin,1,0.725,2.76,0.3793103448
26-May-21,167,,14,Amb/Fert/Thin,1,0.779,2.57,0.2836970475
26-May-21,168,,14,Sun/Fert/No thin,0.999,0.806,2.48,0.2394540943
26-May-21,169,,15,Amb/Fert/Thin,1,0.872,2.29,0.1467889908
26-May-21,170,,15,Amb/Fert/No thin,1,0.79,2.53,0.2658227848
26-May-21,171,,15,Sun/Fert/No thin,1.001,0.802,2.50,0.2481296758
26-May-21,172,,15,Amb/No fert/Thin,1,0.8,2.50,0.25
26-May-21,173,,15,Shade/Fert/Thin,1.001,0.788,2.54,0.2703045685
26-May-21,174,,15,Amb/No fert/No thin,1,0.822,2.43,0.2165450122
26-May-21,175,,15,Shade/No fert/Thin,1.003,0.752,2.67,0.3337765957
26-May-21,176,,15,Sun/Fert/Thin,0.999,0.786,2.54,0.2709923664
26-May-21,177,,15,Shade/Fert/No thin,1.001,0.839,2.39,0.1930870083
26-May-21,178,,15,Shade/No fert/No thin,1.001,0.7,2.86,0.43
26-May-21,179,,15,Sun/No fert/No thin,1,0.823,2.43,0.2150668287
26-May-21,180,,15,Sun/No fert/Thin,1,0.776,2.58,0.2886597938
26-May-21,181,,16,Shade/Fert/No thin,1,0.828,2.42,0.2077294686
26-May-21,182,,16,Sun/Fert/No thin,1.001,0.811,2.47,0.2342786683
26-May-21,183,,16,Shade/No fert/Thin,0.999,0.703,2.84,0.4210526316
26-May-21,184,,16,Sun/No fert/No thin,1,0.791,2.53,0.2642225032
26-May-21,185,,16,Sun/No fert/Thin,1,0.805,2.48,0.2422360248
26-May-21,186,,16,Shade/Fert/Thin,1,0.775,2.58,0.2903225806
26-May-21,187,,16,Sun/Fert/Thin,1.001,0.787,2.54,0.2719186785
26-May-21,188,,16,Amb/Fert/No thin,1,0.776,2.58,0.2886597938
26-May-21,189,,16,Amb/No fert/Thin,1,0.779,2.57,0.2836970475
26-May-21,190,,16,Shade/No fert/No thin,1,0.798,2.51,0.2531328321
26-May-21,191,,16,Amb/Fert/Thin,1,0.772,2.59,0.2953367876
26-May-21,192,,16,Amb/No fert/No thin,1.001,0.755,2.65,0.3258278146
26-May-21,193,,17,Shade/Fert/Thin,0.999,0.817,2.45,0.2227662179
26-May-21,194,,17,Shade/No fert/Thin,1.002,0.793,2.53,0.263556116
26-May-21,195,,17,Sun/Fert/No thin,1,0.767,2.61,0.3037809648
26-May-21,196,,17,Shade/No fert/No thin,1,0.788,2.54,0.269035533
26-May-21,197,,17,Amb/Fert/Thin,1,0.791,2.53,0.2642225032
26-May-21,198,,17,Amb/No fert/Thin,1,0.854,2.34,0.1709601874
26-May-21,199,,17,Shade/Fert/No thin,1.004,0.821,2.45,0.2228989038
26-May-21,200,,17,Sun/No fert/No thin,1.003,0.766,2.62,0.3093994778
26-May-21,201,,17,Sun/No fert/Thin,1,0.736,2.72,0.3586956522
26-May-21,202,,17,Amb/No fert/No thin,1,0.813,2.46,0.2300123001
26-May-21,203,,17,Sun/Fert/Thin,1,0.772,2.59,0.2953367876
26-May-21,204,,17,Amb/Fert/No thin,1,0.79,2.53,0.2658227848
